ddodyear,diseaseSite,ddvet,total,geometry,estimate_total_vet,estimate_total_nonvet,estimate_female_vet,estimate_female_nonvet,moe_total_vet,moe_total_nonvet,moe_female_vet,moe_female_nonvet,population,population_moe,rate_per_100k,rate_moe
2014,Breast,N,45,"list(list(c(-122.929115, -122.929193, -122.928956, -122.929145, -122.929122, -122.928961, -122.884955, -122.882185, -122.875375, -122.863452, -122.78466, -122.784575, -122.762429, -122.762181979112, -122.772511, -122.773033185487, -122.774511, -122.76381, -122.762414110309, -122.743540245466, -122.738109, -122.713309, -122.69124965445, -122.6911850902, -122.691008, -122.675327484197, -122.675324886262, -122.675008, -122.643907, -122.634962906196, -122.607718206328, -122.602606, -122.588917822907, 
-122.586005557515, -122.582325993186, -122.581406, -122.55127899822, -122.550228171716, -122.549955276927, -122.549438939157, -122.548149, -122.545981397444, -122.523668, -122.505353096256, -122.49601900833, -122.492259, -122.479315, -122.475778139509, -122.474659, -122.470983433001, -122.470899622845, -122.455524687777, -122.453891, -122.441061761, -122.438674, -122.434680384941, -122.416934004748, -122.410706, -122.401222955157, -122.397100512625, -122.391802, -122.383568946921, -122.380302, -122.372189242991, 
-122.352802, -122.341811701881, -122.339070265255, -122.331502, -122.294901, -122.294819998052, -122.266701, -122.262625, -122.259530999909, -122.248993, -122.2017, -122.197526018062, -122.183695, -122.166829998749, -122.14075, -122.129548, -122.12949, -122.126197, -122.126197, -122.112356, -122.101675, -122.100186326584, -122.044374, -122.022571, -122.00369, -121.983038, -121.979797, -121.963547, -121.961258017759, -121.955734, -121.951838, -121.935149, -121.922236, -121.921909, -121.918109, -121.916509, 
-121.915556, -121.913335, -121.913214, -121.915156, -121.915414, -121.914532, -121.915924, -121.915968, -121.918483, -121.917997, -121.9159, -121.913674, -121.910176, -121.911331, -121.911187, -121.912965, -121.913839, -121.911588, -121.910435, -121.907268, -121.908325, -121.906906, -121.905298, -121.902819, -121.903252, -121.901866, -121.909217, -121.914513, -121.919705, -121.922222, -121.920467, -121.916862, -121.91351, -121.913149, -121.913764, -121.911528, -121.911294, -121.910247, -121.907007, 
-121.906742, -121.897893, -121.893782, -121.890677, -121.886179, -121.882177, -121.87897, -121.874651, -121.86945, -121.868645, -121.865494, -121.861294, -121.859912, -121.859933, -121.861556, -121.863178, -121.860202, -121.855092, -121.849751, -121.847097, -121.845323, -121.838648, -121.836037, -121.834921, -121.830794, -121.829348, -121.825506, -121.821905, -121.820394, -121.821994, -121.822, -121.983265, -121.983247, -122.004262, -122.086484, -122.086491, -122.16663, -122.264032, -122.265782, 
-122.273126, -122.305836, -122.31608, -122.348317, -122.372796, -122.38269, -122.383141, -122.389346, -122.41397, -122.414457, -122.438075, -122.439145, -122.443966, -122.447789, -122.45466, -122.466639, -122.468001, -122.47253, -122.479942, -122.486584, -122.496748, -122.499336, -122.501043, -122.501787, -122.507261, -122.510434, -122.514201, -122.515588, -122.516394, -122.517066, -122.527517, -122.52965, -122.531076, -122.532302, -122.547638, -122.548002, -122.550202, -122.55301, -122.558403, -122.564012, 
-122.564761, -122.565204, -122.568617, -122.570028, -122.571309, -122.57905, -122.583921, -122.586026, -122.586836, -122.589372, -122.594933, -122.595127, -122.595305, -122.595455, -122.596603, -122.597024, -122.597189, -122.597397, -122.597622, -122.601463, -122.60573, -122.606614, -122.6086, -122.611903, -122.612978, -122.615374, -122.616816, -122.618882, -122.622256, -122.626278, -122.63284, -122.63657, -122.636598, -122.64158, -122.641413, -122.647043, -122.652988, -122.65332, -122.656972, -122.660979, 
-122.659105, -122.658112, -122.652605, -122.646605, -122.645205, -122.647972, -122.651305, -122.648725, -122.654933, -122.660485, -122.666143, -122.666295, -122.672677, -122.67327, -122.675572, -122.681893, -122.685634, -122.686595, -122.695818, -122.697382, -122.698595, -122.701808, -122.702001, -122.703304, -122.705021, -122.714925, -122.715938, -122.719286, -122.721355, -122.721663, -122.725541, -122.730299, -122.733445, -122.738407, -122.744065, -122.744098, -122.744103, -122.743922, -122.743633, 
-122.743644, -122.743612, -122.743807, -122.743613, -122.74351, -122.743513, -122.743632, -122.74364, -122.743663, -122.743626, -122.743706, -122.74364, -122.743789, -122.743711, -122.743745, -122.743753, -122.743768, -122.743786, -122.743791, -122.74357, -122.74323, -122.7438, -122.743809, -122.743795, -122.743793, -122.743785, -122.743786, -122.743801, -122.743805, -122.743805, -122.743812, -122.743812, -122.743813, -122.743828, -122.743847, -122.743856, -122.743859, -122.743859, -122.743862, -122.764464, 
-122.764486, -122.764477, -122.764459, -122.764458, -122.764442, -122.764439, -122.764396, -122.765077, -122.76609, -122.772066, -122.775112, -122.781146, -122.78234, -122.784204, -122.784876, -122.784768, -122.784769, -122.78477, -122.784771, -122.784822, -122.80361, -122.80561, -122.805695, -122.80561, -122.805611, -122.826411, -122.826523, -122.826581, -122.826666, -122.847026, -122.846955, -122.846709, -122.867641, -122.867379, -122.868229, -122.887992, -122.887872, -122.90899, -122.909131, -122.929214, 
-122.929115, 45.642652, 45.671015, 45.67835, 45.69381, 45.698697, 45.721502, 45.72126, 45.721375, 45.721299, 45.721373, 45.721435, 45.72867, 45.728686, 45.7285978990087, 45.699637, 45.6946240193216, 45.680437, 45.657138, 45.6564319354118, 45.6468852157137, 45.644138, 45.637438, 45.6248766068277, 45.624839841597, 45.624739, 45.6181727840074, 45.6181716961222, 45.618039, 45.609739, 45.6092842265807, 45.6078989364008, 45.607639, 45.6052506713647, 45.6047425360023, 45.6041005214526, 45.60394, 45.5974429961583, 
45.5972163813797, 45.5971575305686, 45.597046180342, 45.596768, 45.5961361625815, 45.589632, 45.5859286680354, 45.5840412856795, 45.583281, 45.579761, 45.5786549714615, 45.578305, 45.5763596113031, 45.5763152526152, 45.5681776714198, 45.567313, 45.5641699755541, 45.563585, 45.5641630232321, 45.5667315782601, 45.567633, 45.5710983445711, 45.5726047893985, 45.574541, 45.5755432847227, 45.575941, 45.5740234392523, 45.569441, 45.558502299525, 45.5557737334935, 45.548241, 45.543541, 45.5435418617228, 
45.543841, 45.544321, 45.5450981314783, 45.547745, 45.564141, 45.5672833674073, 45.577696, 45.5803711516712, 45.584508, 45.582945, 45.582967, 45.582573, 45.582617, 45.581409, 45.583516, 45.5841914770218, 45.609516, 45.615151, 45.61593, 45.622812, 45.624839, 45.632784, 45.6359407622735, 45.643559, 45.644951, 45.644169, 45.6490830685217, 45.610844, 45.608113, 45.607677, 45.605279, 45.602566, 45.60119, 45.598957, 45.597108, 45.594188, 45.592018, 45.589324, 45.586384, 45.584816, 45.582714, 45.581593, 
45.581234, 45.578043, 45.576821, 45.57515, 45.570841, 45.567291, 45.566783, 45.56673, 45.565324, 45.562596, 45.561637, 45.561078, 45.558547, 45.556172, 45.549725, 45.54843, 45.547665, 45.546744, 45.545238, 45.543576, 45.538159, 45.537009, 45.534452, 45.530131, 45.528449, 45.527051, 45.524776, 45.520497, 45.516286, 45.513353, 45.51272, 45.512399, 45.51298, 45.514034, 45.515762, 45.514257, 45.510088, 45.505309, 45.502229, 45.499836, 45.496854, 45.494205, 45.492711, 45.489474, 45.48689, 45.486269, 45.482047, 
45.476669, 45.475183, 45.474108, 45.472259, 45.46961, 45.467883, 45.465976, 45.46361, 45.461666, 45.461674, 45.460222, 45.46025, 45.461462, 45.461589, 45.461082, 45.460364, 45.461124, 45.461537, 45.46148, 45.461491, 45.461439, 45.461542, 45.461505, 45.46123, 45.461273, 45.461276, 45.4613, 45.461579, 45.461579, 45.461145, 45.461134, 45.461001, 45.460974, 45.460941, 45.461127, 45.461135, 45.461173, 45.461176, 45.461132, 45.460982, 45.461028, 45.46107, 45.461107, 45.461277, 45.461297, 45.461303, 45.4613, 
45.461293, 45.461288, 45.461273, 45.461266, 45.461308, 45.461342, 45.461058, 45.461042, 45.460942, 45.460976, 45.461042, 45.461259, 45.461272, 45.461282, 45.461365, 45.461379, 45.461392, 45.461518, 45.46152, 45.461522, 45.461522, 45.46152, 45.461507, 45.461505, 45.461503, 45.461502, 45.461501, 45.4615, 45.461499, 45.461499, 45.461498, 45.461488, 45.461494, 45.461494, 45.46151, 45.461497, 45.461493, 45.461481, 45.461468, 45.461452, 45.461439, 45.461451, 45.461551, 45.46152, 45.46152, 45.46149, 45.458702, 
45.458697, 45.458314, 45.458292, 45.458066, 45.457819, 45.454341, 45.453028, 45.445741, 45.443741, 45.441641, 45.438233, 45.436541, 45.432718, 45.432713, 45.432741, 45.432737, 45.432737, 45.432741, 45.432741, 45.432867, 45.432841, 45.432939, 45.432918, 45.433023, 45.433041, 45.433041, 45.433041, 45.433056, 45.433038, 45.433037, 45.433068, 45.433079, 45.433113, 45.433135, 45.433137, 45.433167, 45.433221, 45.433192, 45.43324, 45.433283, 45.43444, 45.436975, 45.437809, 45.442959, 45.445299, 45.447285, 
45.447902, 45.454868, 45.456684, 45.458147, 45.46565, 45.467532, 45.469467, 45.476439, 45.476444, 45.478215, 45.483692, 45.484201, 45.487084, 45.487847, 45.489188, 45.490804, 45.492302, 45.493035, 45.494417, 45.494911, 45.497618, 45.502734, 45.503856, 45.505017, 45.505122, 45.506638, 45.507022, 45.507374, 45.507528, 45.507609, 45.507886, 45.509582, 45.512509, 45.5144, 45.515754, 45.516665, 45.519515, 45.519562, 45.526737, 45.527824, 45.529634, 45.529727, 45.530998, 45.531184, 45.533821, 45.533844, 
45.53384, 45.533835, 45.533841, 45.533943, 45.533966, 45.534001, 45.534014, 45.54232, 45.543979, 45.545158, 45.548422, 45.548424, 45.548339, 45.548803, 45.554696, 45.555739, 45.562739, 45.562838, 45.566284, 45.56806, 45.577484, 45.577504, 45.581016, 45.591856, 45.591918, 45.606274, 45.60627, 45.606401, 45.620637, 45.620701, 45.633629, 45.633864, 45.642652)))",43235,561891,3584,305028,1234,1236,361,362,305028,362,14.75274401038593,0.017508206891694227
2014,Lung,N,101,"list(list(c(-122.929115, -122.929193, -122.928956, -122.929145, -122.929122, -122.928961, -122.884955, -122.882185, -122.875375, -122.863452, -122.78466, -122.784575, -122.762429, -122.762181979112, -122.772511, -122.773033185487, -122.774511, -122.76381, -122.762414110309, -122.743540245466, -122.738109, -122.713309, -122.69124965445, -122.6911850902, -122.691008, -122.675327484197, -122.675324886262, -122.675008, -122.643907, -122.634962906196, -122.607718206328, -122.602606, -122.588917822907, 
-122.586005557515, -122.582325993186, -122.581406, -122.55127899822, -122.550228171716, -122.549955276927, -122.549438939157, -122.548149, -122.545981397444, -122.523668, -122.505353096256, -122.49601900833, -122.492259, -122.479315, -122.475778139509, -122.474659, -122.470983433001, -122.470899622845, -122.455524687777, -122.453891, -122.441061761, -122.438674, -122.434680384941, -122.416934004748, -122.410706, -122.401222955157, -122.397100512625, -122.391802, -122.383568946921, -122.380302, -122.372189242991, 
-122.352802, -122.341811701881, -122.339070265255, -122.331502, -122.294901, -122.294819998052, -122.266701, -122.262625, -122.259530999909, -122.248993, -122.2017, -122.197526018062, -122.183695, -122.166829998749, -122.14075, -122.129548, -122.12949, -122.126197, -122.126197, -122.112356, -122.101675, -122.100186326584, -122.044374, -122.022571, -122.00369, -121.983038, -121.979797, -121.963547, -121.961258017759, -121.955734, -121.951838, -121.935149, -121.922236, -121.921909, -121.918109, -121.916509, 
-121.915556, -121.913335, -121.913214, -121.915156, -121.915414, -121.914532, -121.915924, -121.915968, -121.918483, -121.917997, -121.9159, -121.913674, -121.910176, -121.911331, -121.911187, -121.912965, -121.913839, -121.911588, -121.910435, -121.907268, -121.908325, -121.906906, -121.905298, -121.902819, -121.903252, -121.901866, -121.909217, -121.914513, -121.919705, -121.922222, -121.920467, -121.916862, -121.91351, -121.913149, -121.913764, -121.911528, -121.911294, -121.910247, -121.907007, 
-121.906742, -121.897893, -121.893782, -121.890677, -121.886179, -121.882177, -121.87897, -121.874651, -121.86945, -121.868645, -121.865494, -121.861294, -121.859912, -121.859933, -121.861556, -121.863178, -121.860202, -121.855092, -121.849751, -121.847097, -121.845323, -121.838648, -121.836037, -121.834921, -121.830794, -121.829348, -121.825506, -121.821905, -121.820394, -121.821994, -121.822, -121.983265, -121.983247, -122.004262, -122.086484, -122.086491, -122.16663, -122.264032, -122.265782, 
-122.273126, -122.305836, -122.31608, -122.348317, -122.372796, -122.38269, -122.383141, -122.389346, -122.41397, -122.414457, -122.438075, -122.439145, -122.443966, -122.447789, -122.45466, -122.466639, -122.468001, -122.47253, -122.479942, -122.486584, -122.496748, -122.499336, -122.501043, -122.501787, -122.507261, -122.510434, -122.514201, -122.515588, -122.516394, -122.517066, -122.527517, -122.52965, -122.531076, -122.532302, -122.547638, -122.548002, -122.550202, -122.55301, -122.558403, -122.564012, 
-122.564761, -122.565204, -122.568617, -122.570028, -122.571309, -122.57905, -122.583921, -122.586026, -122.586836, -122.589372, -122.594933, -122.595127, -122.595305, -122.595455, -122.596603, -122.597024, -122.597189, -122.597397, -122.597622, -122.601463, -122.60573, -122.606614, -122.6086, -122.611903, -122.612978, -122.615374, -122.616816, -122.618882, -122.622256, -122.626278, -122.63284, -122.63657, -122.636598, -122.64158, -122.641413, -122.647043, -122.652988, -122.65332, -122.656972, -122.660979, 
-122.659105, -122.658112, -122.652605, -122.646605, -122.645205, -122.647972, -122.651305, -122.648725, -122.654933, -122.660485, -122.666143, -122.666295, -122.672677, -122.67327, -122.675572, -122.681893, -122.685634, -122.686595, -122.695818, -122.697382, -122.698595, -122.701808, -122.702001, -122.703304, -122.705021, -122.714925, -122.715938, -122.719286, -122.721355, -122.721663, -122.725541, -122.730299, -122.733445, -122.738407, -122.744065, -122.744098, -122.744103, -122.743922, -122.743633, 
-122.743644, -122.743612, -122.743807, -122.743613, -122.74351, -122.743513, -122.743632, -122.74364, -122.743663, -122.743626, -122.743706, -122.74364, -122.743789, -122.743711, -122.743745, -122.743753, -122.743768, -122.743786, -122.743791, -122.74357, -122.74323, -122.7438, -122.743809, -122.743795, -122.743793, -122.743785, -122.743786, -122.743801, -122.743805, -122.743805, -122.743812, -122.743812, -122.743813, -122.743828, -122.743847, -122.743856, -122.743859, -122.743859, -122.743862, -122.764464, 
-122.764486, -122.764477, -122.764459, -122.764458, -122.764442, -122.764439, -122.764396, -122.765077, -122.76609, -122.772066, -122.775112, -122.781146, -122.78234, -122.784204, -122.784876, -122.784768, -122.784769, -122.78477, -122.784771, -122.784822, -122.80361, -122.80561, -122.805695, -122.80561, -122.805611, -122.826411, -122.826523, -122.826581, -122.826666, -122.847026, -122.846955, -122.846709, -122.867641, -122.867379, -122.868229, -122.887992, -122.887872, -122.90899, -122.909131, -122.929214, 
-122.929115, 45.642652, 45.671015, 45.67835, 45.69381, 45.698697, 45.721502, 45.72126, 45.721375, 45.721299, 45.721373, 45.721435, 45.72867, 45.728686, 45.7285978990087, 45.699637, 45.6946240193216, 45.680437, 45.657138, 45.6564319354118, 45.6468852157137, 45.644138, 45.637438, 45.6248766068277, 45.624839841597, 45.624739, 45.6181727840074, 45.6181716961222, 45.618039, 45.609739, 45.6092842265807, 45.6078989364008, 45.607639, 45.6052506713647, 45.6047425360023, 45.6041005214526, 45.60394, 45.5974429961583, 
45.5972163813797, 45.5971575305686, 45.597046180342, 45.596768, 45.5961361625815, 45.589632, 45.5859286680354, 45.5840412856795, 45.583281, 45.579761, 45.5786549714615, 45.578305, 45.5763596113031, 45.5763152526152, 45.5681776714198, 45.567313, 45.5641699755541, 45.563585, 45.5641630232321, 45.5667315782601, 45.567633, 45.5710983445711, 45.5726047893985, 45.574541, 45.5755432847227, 45.575941, 45.5740234392523, 45.569441, 45.558502299525, 45.5557737334935, 45.548241, 45.543541, 45.5435418617228, 
45.543841, 45.544321, 45.5450981314783, 45.547745, 45.564141, 45.5672833674073, 45.577696, 45.5803711516712, 45.584508, 45.582945, 45.582967, 45.582573, 45.582617, 45.581409, 45.583516, 45.5841914770218, 45.609516, 45.615151, 45.61593, 45.622812, 45.624839, 45.632784, 45.6359407622735, 45.643559, 45.644951, 45.644169, 45.6490830685217, 45.610844, 45.608113, 45.607677, 45.605279, 45.602566, 45.60119, 45.598957, 45.597108, 45.594188, 45.592018, 45.589324, 45.586384, 45.584816, 45.582714, 45.581593, 
45.581234, 45.578043, 45.576821, 45.57515, 45.570841, 45.567291, 45.566783, 45.56673, 45.565324, 45.562596, 45.561637, 45.561078, 45.558547, 45.556172, 45.549725, 45.54843, 45.547665, 45.546744, 45.545238, 45.543576, 45.538159, 45.537009, 45.534452, 45.530131, 45.528449, 45.527051, 45.524776, 45.520497, 45.516286, 45.513353, 45.51272, 45.512399, 45.51298, 45.514034, 45.515762, 45.514257, 45.510088, 45.505309, 45.502229, 45.499836, 45.496854, 45.494205, 45.492711, 45.489474, 45.48689, 45.486269, 45.482047, 
45.476669, 45.475183, 45.474108, 45.472259, 45.46961, 45.467883, 45.465976, 45.46361, 45.461666, 45.461674, 45.460222, 45.46025, 45.461462, 45.461589, 45.461082, 45.460364, 45.461124, 45.461537, 45.46148, 45.461491, 45.461439, 45.461542, 45.461505, 45.46123, 45.461273, 45.461276, 45.4613, 45.461579, 45.461579, 45.461145, 45.461134, 45.461001, 45.460974, 45.460941, 45.461127, 45.461135, 45.461173, 45.461176, 45.461132, 45.460982, 45.461028, 45.46107, 45.461107, 45.461277, 45.461297, 45.461303, 45.4613, 
45.461293, 45.461288, 45.461273, 45.461266, 45.461308, 45.461342, 45.461058, 45.461042, 45.460942, 45.460976, 45.461042, 45.461259, 45.461272, 45.461282, 45.461365, 45.461379, 45.461392, 45.461518, 45.46152, 45.461522, 45.461522, 45.46152, 45.461507, 45.461505, 45.461503, 45.461502, 45.461501, 45.4615, 45.461499, 45.461499, 45.461498, 45.461488, 45.461494, 45.461494, 45.46151, 45.461497, 45.461493, 45.461481, 45.461468, 45.461452, 45.461439, 45.461451, 45.461551, 45.46152, 45.46152, 45.46149, 45.458702, 
45.458697, 45.458314, 45.458292, 45.458066, 45.457819, 45.454341, 45.453028, 45.445741, 45.443741, 45.441641, 45.438233, 45.436541, 45.432718, 45.432713, 45.432741, 45.432737, 45.432737, 45.432741, 45.432741, 45.432867, 45.432841, 45.432939, 45.432918, 45.433023, 45.433041, 45.433041, 45.433041, 45.433056, 45.433038, 45.433037, 45.433068, 45.433079, 45.433113, 45.433135, 45.433137, 45.433167, 45.433221, 45.433192, 45.43324, 45.433283, 45.43444, 45.436975, 45.437809, 45.442959, 45.445299, 45.447285, 
45.447902, 45.454868, 45.456684, 45.458147, 45.46565, 45.467532, 45.469467, 45.476439, 45.476444, 45.478215, 45.483692, 45.484201, 45.487084, 45.487847, 45.489188, 45.490804, 45.492302, 45.493035, 45.494417, 45.494911, 45.497618, 45.502734, 45.503856, 45.505017, 45.505122, 45.506638, 45.507022, 45.507374, 45.507528, 45.507609, 45.507886, 45.509582, 45.512509, 45.5144, 45.515754, 45.516665, 45.519515, 45.519562, 45.526737, 45.527824, 45.529634, 45.529727, 45.530998, 45.531184, 45.533821, 45.533844, 
45.53384, 45.533835, 45.533841, 45.533943, 45.533966, 45.534001, 45.534014, 45.54232, 45.543979, 45.545158, 45.548422, 45.548424, 45.548339, 45.548803, 45.554696, 45.555739, 45.562739, 45.562838, 45.566284, 45.56806, 45.577484, 45.577504, 45.581016, 45.591856, 45.591918, 45.606274, 45.60627, 45.606401, 45.620637, 45.620701, 45.633629, 45.633864, 45.642652)))",43235,561891,3584,305028,1234,1236,361,362,561891,1236,17.97501650676021,0.039539911481685265
